LexToken(MODULE,'module',2,1)
LexToken(CONSTANT,'Example',2,8)
LexToken(DEF,'def',3,18)
LexToken(SELF,'self',3,22)
LexToken(LOCAL_VAR,'calculate',3,27)
LexToken(LOCAL_VAR,'a',4,41)
LexToken(INTEGER,10,4,45)
LexToken(LOCAL_VAR,'b',5,52)
LexToken(INTEGER,20,5,56)
LexToken(UNLESS,'unless',7,64)
LexToken(LOCAL_VAR,'a',7,71)
LexToken(EQUAL,'==',7,73)
LexToken(LOCAL_VAR,'b',7,76)
LexToken(LOCAL_VAR,'a',8,84)
LexToken(INTEGER,1,8,89)
LexToken(LOCAL_VAR,'b',9,97)
LexToken(EXPONENT_ASSIGN,'**=',9,99)
LexToken(INTEGER,2,9,103)
LexToken(LOCAL_VAR,'result',10,111)
LexToken(LOCAL_VAR,'a',10,120)
LexToken(LOCAL_VAR,'b',10,124)
LexToken(LOCAL_VAR,'end',11,130)
LexToken(IF,'if',13,139)
LexToken(LOCAL_VAR,'a',13,142)
LexToken(NOT_EQUAL,'!=',13,144)
LexToken(LOCAL_VAR,'b',13,147)
LexToken(LOCAL_VAR,'puts',14,155)
LexToken(STRING,'"a is not equal to b"',14,160)
LexToken(LOCAL_VAR,'end',15,186)
LexToken(LOCAL_VAR,'range_inclusive',17,195)
LexToken(INTEGER,1,17,213)
LexToken(RANGEIN,'..',17,214)
LexToken(INTEGER,10,17,216)
LexToken(LOCAL_VAR,'range_exclusive',18,223)
LexToken(INTEGER,1,18,241)
LexToken(RANGEEX,'...',18,242)
LexToken(INTEGER,10,18,245)
LexToken(IF,'if',20,253)
LexToken(LOCAL_VAR,'range_inclusive',20,256)
LexToken(LOCAL_VAR,'include',20,272)
LexToken(LEFTPAR,'(',20,280)
LexToken(INTEGER,5,20,281)
LexToken(RIGHTPAR,')',20,282)
LexToken(LOCAL_VAR,'puts',21,290)
LexToken(STRING,'"5 is in the inclusive range"',21,295)
LexToken(LOCAL_VAR,'end',22,329)
LexToken(IF,'if',24,338)
LexToken(LOCAL_VAR,'range_exclusive',24,341)
LexToken(LOCAL_VAR,'include',24,357)
LexToken(LEFTPAR,'(',24,365)
LexToken(INTEGER,10,24,366)
LexToken(RIGHTPAR,')',24,368)
LexToken(LOCAL_VAR,'puts',25,376)
LexToken(STRING,'"10 is in the exclusive range"',25,381)
LexToken(LOCAL_VAR,'end',26,416)
LexToken(LOCAL_VAR,'case',28,425)
LexToken(LOCAL_VAR,'result',28,430)
LexToken(WHEN,'when',29,441)
LexToken(INTEGER,0,29,446)
LexToken(LOCAL_VAR,'puts',30,454)
LexToken(STRING,'"Result is zero"',30,459)
LexToken(ELSE,'else',31,480)
LexToken(LOCAL_VAR,'puts',32,491)
LexToken(STRING,'"Result is non-zero"',32,496)
LexToken(LOCAL_VAR,'end',33,521)
LexToken(UNTIL,'until',35,530)
LexToken(LOCAL_VAR,'result',35,536)
LexToken(GREATER,'>',35,543)
LexToken(INTEGER,1000,35,545)
LexToken(LOCAL_VAR,'result',36,556)
LexToken(INTEGER,2,36,566)
LexToken(LOCAL_VAR,'end',37,572)
LexToken(LOCAL_VAR,'result',39,581)
LexToken(MODULO_ASSIGN,'%=',39,588)
LexToken(INTEGER,3,39,591)
LexToken(LOCAL_VAR,'puts',41,598)
LexToken(STRING,'"Final result: #{result}"',41,603)
LexToken(LOCAL_VAR,'end',42,631)
LexToken(DEF,'def',44,638)
LexToken(SELF,'self',44,642)
LexToken(LOCAL_VAR,'check_defined',44,647)
LexToken(IF,'if',45,665)
LexToken(LOCAL_VAR,'defined',45,668)
LexToken(LEFTPAR,'(',45,676)
LexToken(CLASS_VAR,'@@class_variable',45,677)
LexToken(RIGHTPAR,')',45,693)
LexToken(LOCAL_VAR,'puts',46,701)
LexToken(STRING,'"Class variable is defined"',46,706)
LexToken(LOCAL_VAR,'end',47,738)
LexToken(LOCAL_VAR,'end',48,744)
LexToken(LOCAL_VAR,'end',49,748)
LexToken(CONSTANT,'Example',51,753)
LexToken(LOCAL_VAR,'calculate',51,761)
LexToken(CONSTANT,'Example',52,771)
LexToken(LOCAL_VAR,'check_defined',52,779)
